# This file was initially created on 27/07/2014 11:21:02 PM
# The format is as follows:
# r (rawData) or s (stateEstimate), Curr Image ID, PositionX, PositionY, VelocityX, VelocityY
r,1,141,-149.7456,0,0
r,1,91,-151.5974,0,0
s,1,141,-149.7456,0,0
s,1,91,-151.5974,0,0
r,2,141,-158,0,0
r,2,91,-158,0,0
r,2,-109,-158,0,0
s,2,141,-158,0,0
s,2,91,-158,0,0
s,2,-109,-158,0,0
r,3,141,-158,0,0
r,3,-109,-158,0,0
r,3,-9,-158,0,0
r,3,-59,-158,0,0
r,3,41,207.911,0,0
s,3,141,-158,0,0
s,3,-109,-158,0,0
s,3,-9,-158,0,0
s,3,-59,-158,0,0
s,3,41,207.911,0,0
r,4,141,-121.6285,0,0
r,4,91,-158,0,0
r,4,-109,-54.81,0,0
r,4,-9,-158,0,0
r,4,-59,-158,0,0
s,4,141,-121.6285,0,0
s,4,91,-158,0,0
s,4,-109,-54.81,0,0
s,4,-9,-158,0,0
s,4,-59,-158,0,0
r,5,141,-150.2553,0,0
r,5,91,-150.3232,0,0
r,5,-109,-42.9685,0,0
r,5,-9,-158,0,0
r,5,-59,-158,0,0
r,5,41,-158,0,0
s,5,141,-150.2553,0,0
s,5,91,-150.3232,0,0
s,5,-109,-42.9685,0,0
s,5,-9,-158,0,0
s,5,-59,-158,0,0
s,5,41,-158,0,0
r,6,-9,106.7064,0,0
r,6,-59,-158,0,0
r,6,41,-158,0,0
s,6,-9,106.7064,0,0
s,6,-59,-158,0,0
s,6,41,-158,0,0
