# This MeasurementStore object was saved on 27/07/2014 4:32:18 PM

# _FirstTime.Ticks
635420755029010010
# _PreviousTime.Ticks
635420755385138935
# _Data
# Measure.Distance, Measure.TimeStamp.Ticks, Measure.SensorID, Measure.TimeStage, Curr.TimeReceived (time since last measurement in ms)
6.438907,635420755029010010,1,-19656414,0
-1,635420755029818970,4,-19656413,69
148.8764,635420755030093910,1,-19656413,29
-1,635420755030815350,4,-19656412,69
-1,635420755031321210,1,-19656412,53
227.4684,635420755031635920,4,-19656412,29
-1,635420755032315200,1,-19656411,70
5.844285,635420755032509700,4,-19656411,16
147.4153,635420755033089330,1,-19656410,60
-1,635420755033819080,4,-19656409,70
6.659766,635420755034010200,1,-19656409,21
-1,635420755034814770,4,-19656408,77
-1,635420755035319310,1,-19656408,57
240.0914,635420755035643400,4,-19656408,27
-1,635420755036316960,1,-19656407,70
5.759339,635420755036509640,4,-19656407,15
125.6691,635420755037076050,1,-19656406,60
-1,635420755037819050,4,-19656405,76
6.812669,635420755038010310,1,-19656405,16
-1,635420755038814820,4,-19656404,86
145.8863,635420755039092170,1,-19656404,22
223.8157,635420755039633800,4,-19656404,51
146.8546,635420755040092960,1,-19656403,49
5.844285,635420755040509650,4,-19656403,37
145.5635,635420755041091960,1,-19656402,61
-1,635420755041819080,4,-19656401,70
-1,635420755042320080,1,-19656401,54
-1,635420755042815290,4,-19656400,46
-1,635420755043315160,1,-19656400,52
225.8035,635420755043634960,4,-19656400,28
120.5893,635420755044073040,1,-19656399,49
5.895252,635420755044509710,4,-19656399,38
5.640414,635420755044849460,6,-19656398,28
6.761702,635420755045010210,1,-19656398,26
-1,635420755045819020,4,-19656397,76
-1,635420755046159810,6,-19656397,28
-1,635420755046319390,1,-19656397,24
-1,635420755046814770,4,-19656396,46
-1,635420755047156690,6,-19656396,29
-1,635420755047317010,1,-19656396,26
246.2415,635420755047647000,4,-19656396,27
160.0383,635420755047936310,6,-19656395,24
121.4898,635420755048073610,1,-19656395,22
5.929231,635420755048509700,4,-19656395,41
5.929231,635420755048849720,6,-19656394,31
6.286004,635420755049009990,1,-19656394,19
-1,635420755049819470,4,-19656393,78
-1,635420755050159810,6,-19656393,28
-1,635420755050319360,1,-19656393,26
-1,635420755050814870,4,-19656392,45
-1,635420755051156770,6,-19656392,27
-1,635420755051316930,1,-19656392,25
238.4095,635420755051642390,4,-19656392,38
148.6895,635420755051929580,6,-19656391,14
128.1156,635420755052077490,1,-19656391,21
5.878263,635420755052509700,4,-19656391,40
6.302993,635420755053009950,1,-19656390,52
267.1212,635420755053333320,2,-19656390,33
76.84216,635420755053525020,3,-19656390,15
-1,635420755053812720,4,-19656389,30
268.2255,635420755054334080,2,-19656389,55
-1,635420755054371000,1,-19656389,3
-1,635420755054652870,3,-19656389,25
-1,635420755054814950,4,-19656388,16
-1,635420755054982980,5,-19656388,10
-1,635420755055308700,1,-19656388,41
-1,635420755055574430,2,-19656388,26
243.4382,635420755055645280,4,-19656388,3
-1,635420755055688690,3,-19656388,5
-1,635420755056058240,5,-19656387,30
40.87601,635420755056088960,1,-19656387,15
117.2934,635420755056411130,3,-19656387,26
-1,635420755056479310,2,-19656387,11
5.810307,635420755056509620,4,-19656387,0
-1,635420755057079400,5,-19656386,50
6.252026,635420755057014190,1,-19656386,1
151.3398,635420755057261220,2,-19656386,25
-1,635420755057696170,3,-19656386,41
-1,635420755057819020,4,-19656385,11
-1,635420755058075990,5,-19656385,20
146.8886,635420755058155550,1,-19656385,15
13.86319,635420755058185200,2,-19656385,2
-1,635420755058648740,3,-19656385,44
131.8702,635420755058846400,5,-19656384,14
-1,635420755058814700,4,-19656384,8
-1,635420755059376360,1,-19656384,52
157.9996,635420755059474780,3,-19656384,6
-1,635420755059492150,2,-19656384,5
302.068,635420755059679870,4,-19656384,15
-1,635420755059983020,5,-19656383,24
-1,635420755060308980,1,-19656383,43
5.980198,635420755060509640,4,-19656383,15
231.9366,635420755060527580,3,-19656383,3
-1,635420755060573980,2,-19656383,6
-1,635420755060984630,5,-19656382,31
120.8102,635420755061136050,1,-19656382,24
126.3657,635420755061247370,2,-19656382,9
316.067,635420755061565890,3,-19656382,30
-1,635420755061813140,4,-19656381,22
-1,635420755062075980,5,-19656381,20
6.523853,635420755062173300,1,-19656381,18
-1,635420755062207560,2,-19656381,2
155.706,635420755062763750,5,-19656380,49
-1,635420755062652870,3,-19656381,8
-1,635420755062814890,4,-19656380,0
145.6654,635420755063154820,1,-19656380,37
-1,635420755063484040,2,-19656380,32
246.7511,635420755063647200,4,-19656380,13
-1,635420755063688800,3,-19656380,6
-1,635420755064079920,5,-19656379,31
-1,635420755064376040,1,-19656379,40
