# This MeasurementStore object was saved on 27/07/2014 4:42:04 PM

# _FirstTime.Ticks
635420760626509650
# _PreviousTime.Ticks
635420761240970109
# _Data
# Measure.Distance, Measure.TimeStamp.Ticks, Measure.SensorID, Measure.TimeStage, Curr.TimeReceived (time since last measurement in ms)
6.031166,635420760626509650,4,-19650817,0
5.623425,635420760626849400,6,-19650816,32
-1,635420760627813450,4,-19650815,95
6.184069,635420760628010000,1,-19650815,29
-1,635420760628178950,6,-19650815,5
148.4516,635420760628263540,2,-19650815,20
-1,635420760628653040,3,-19650815,28
-1,635420760628815080,4,-19650814,17
-1,635420760628983110,5,-19650814,15
-1,635420760629267400,6,-19650814,27
-1,635420760629312850,1,-19650814,17
-1,635420760629650760,3,-19650814,23
242.4699,635420760629644750,4,-19650814,1
-1,635420760629573410,2,-19650814,0
143.0491,635420760629926210,6,-19650813,26
-1,635420760630078370,5,-19650813,14
76.48537,635420760630428020,3,-19650813,35
-1,635420760630371850,1,-19650813,4
5.895252,635420760630509730,4,-19650813,3
-1,635420760630485190,2,-19650813,11
115.8663,635420760630740320,5,-19650812,10
5.52149,635420760630849390,6,-19650812,10
144.4592,635420760631087150,1,-19650812,34
136.4403,635420760631362940,2,-19650812,28
-1,635420760631692410,3,-19650812,29
-1,635420760631819150,4,-19650811,7
-1,635420760631983040,5,-19650811,14
5.929231,635420760632072620,1,-19650811,19
-1,635420760632277150,6,-19650811,11
6.625788,635420760632180170,2,-19650811,4
-1,635420760632687590,3,-19650811,36
-1,635420760632815210,4,-19650810,12
-1,635420760633075820,5,-19650810,24
-1,635420760633155760,6,-19650810,9
-1,635420760633370380,1,-19650810,32
-1,635420760633489380,2,-19650810,12
215.8988,635420760633629090,4,-19650810,2
-1,635420760633651050,3,-19650810,2
108.2722,635420760633735880,5,-19650809,6
212.7388,635420760633967350,6,-19650809,23
-1,635420760634308750,1,-19650809,46
34.9298,635420760634402670,3,-19650809,0
5.844285,635420760634509620,4,-19650809,8
-1,635420760634577980,2,-19650809,17
6.014176,635420760634849680,6,-19650808,17
-1,635420760634983080,5,-19650808,14
21.16854,635420760635077500,1,-19650808,21
325.1223,635420760635363480,2,-19650808,26
-1,635420760635692470,3,-19650808,23
-1,635420760635819130,4,-19650807,13
-1,635420760635978710,5,-19650807,13
6.302993,635420760636012430,1,-19650807,14
-1,635420760636267380,6,-19650807,15
