# This MeasurementStore object was saved on 27/07/2014 4:24:05 PM

# _FirstTime.Ticks
635420749726319560
# _PreviousTime.Ticks
635420750453089133
# _Data
# Measure.Distance, Measure.TimeStamp.Ticks, Measure.SensorID, Measure.TimeStage, Curr.TimeReceived (time since last measurement in ms)
-1,635420749726319560,1,-19661717,0
-1,635420749727316310,1,-19661716,98
126.9433,635420749728076830,1,-19661715,74
6.897615,635420749729010350,1,-19661714,93
-1,635420749730319490,1,-19661713,131
-1,635420749731317060,1,-19661712,99
122.3222,635420749732074050,1,-19661711,75
6.761702,635420749733010160,1,-19661710,93
-1,635420749734321200,1,-19661709,131
-1,635420749735315550,1,-19661708,99
128.0986,635420749736077460,1,-19661707,75
6.761702,635420749737010260,1,-19661706,93
-1,635420749738321050,1,-19661705,132
-1,635420749739315200,1,-19661704,353
120.6403,635420749740073100,1,-19661703,0
6.744713,635420749741010170,1,-19661702,0
-1,635420749742319710,1,-19661701,53
-1,635420749743316900,1,-19661700,92
121.9485,635420749744073850,1,-19661699,74
6.693745,635420749745010140,1,-19661698,98
5.963209,635420749745509630,4,-19661698,48
6.065145,635420749745849650,6,-19661697,33
6.846648,635420749746180140,2,-19661697,30
-1,635420749746313040,1,-19661697,12
-1,635420749746815720,4,-19661696,56
-1,635420749747096560,6,-19661696,39
-1,635420749747372250,1,-19661696,9
-1,635420749747490440,2,-19661696,12
-1,635420749747878240,4,-19661695,57
154.5677,635420749748093050,1,-19661695,4
-1,635420749748155820,6,-19661695,8
-1,635420749748478450,2,-19661695,28
245.7318,635420749748646650,4,-19661695,22
6.336971,635420749749010010,1,-19661694,31
-1,635420749749152150,6,-19661694,18
-1,635420749749482980,2,-19661694,30
5.895252,635420749749509680,4,-19661694,5
120.7932,635420749749913180,6,-19661693,40
-1,635420749750370230,1,-19661693,41
-1,635420749750486710,2,-19661693,11
-1,635420749750815780,4,-19661692,36
5.929231,635420749750849720,6,-19661692,3
160.7858,635420749751266720,2,-19661692,37
-1,635420749751308840,1,-19661692,7
-1,635420749751811450,4,-19661691,52
12.62298,635420749752072430,1,-19661691,20
6.319983,635420749752179930,2,-19661691,10
-1,635420749752155900,6,-19661691,21
261.4128,635420749752655920,4,-19661691,33
-1,635420749753079610,1,-19661690,35
-1,635420749753151810,6,-19661690,11
-1,635420749753482920,2,-19661690,28
5.878263,635420749753509610,4,-19661690,7
143.8985,635420749753926790,6,-19661689,41
-1,635420749754312970,1,-19661689,36
-1,635420749754565850,2,-19661689,24
5.94622,635420749754849720,6,-19661688,32
-1,635420749754816150,4,-19661688,0
121.0311,635420749755243340,2,-19661688,34
-1,635420749755371860,1,-19661688,13
-1,635420749755811530,4,-19661687,48
